Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-05-2019,,,,,,,,
Gegevens beschikbaar:,15-02-1999,tot:,19-12-2018,,,,,,,,
Datum: ,02-05-2019,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B52C2089,001,,188619,383753,3033,14-01-1999,14-01-1999,23-03-2016,3050,17,2939,2839
B52C2089,001,,188619,383753,3033,23-03-2016,23-03-2016,19-12-2018,3084,51,2990,2890


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B52C2089,001,14-07-2008,143,126,2907,,,,,,
B52C2089,001,28-07-2008,145,128,2905,,,,,,
B52C2089,001,14-08-2008,146,129,2904,,,,,,
B52C2089,001,28-08-2008,149,132,2901,,,,,,
B52C2089,001,15-09-2008,152,135,2898,,,,,,
B52C2089,001,29-09-2008,157,140,2893,,,,,,
B52C2089,001,14-10-2008,154,137,2896,,,,,,
B52C2089,001,28-10-2008,150,133,2900,,,,,,
B52C2089,001,14-11-2008,145,128,2905,,,,,,
B52C2089,001,27-11-2008,137,120,2913,,,,,,
B52C2089,001,18-12-2008,134,117,2916,,,,,,
B52C2089,001,29-12-2008,134,117,2916,,,,,,
B52C2089,001,15-01-2009,143,126,2907,,,,,,
B52C2089,001,29-01-2009,128,111,2922,,,,,,
B52C2089,001,13-02-2009,122,105,2928,,,,,,
B52C2089,001,26-02-2009,121,104,2929,,,,,,
B52C2089,001,12-03-2009,125,108,2925,,,,,,
B52C2089,001,26-03-2009,122,105,2928,,,,,,
B52C2089,001,14-04-2009,128,111,2922,,,,,,
B52C2089,001,28-04-2009,125,108,2925,,,,,,
B52C2089,001,14-05-2009,134,117,2916,,,,,,
B52C2089,001,28-05-2009,139,122,2911,,,,,,
B52C2089,001,15-06-2009,140,123,2910,,,,,,
B52C2089,001,29-06-2009,142,125,2908,,,,,,
B52C2089,001,14-07-2009,148,131,2902,,,,,,
B52C2089,001,28-07-2009,143,126,2907,,,,,,
B52C2089,001,14-08-2009,145,128,2905,,,,,,
B52C2089,001,28-08-2009,150,133,2900,,,,,,
B52C2089,001,15-09-2009,157,140,2893,,,,,,
B52C2089,001,29-09-2009,160,143,2890,,,,,,
B52C2089,001,13-10-2009,147,130,2903,,,,,,
B52C2089,001,29-10-2009,148,131,2902,,,,,,
B52C2089,001,13-11-2009,144,127,2906,,,,,,
B52C2089,001,27-11-2009,128,111,2922,,,,,,
B52C2089,001,14-12-2009,115,98,2935,,,,,,
B52C2089,001,28-12-2009,117,100,2933,,,,,,
B52C2089,001,14-01-2010,117,100,2933,,,,,,
B52C2089,001,28-01-2010,118,101,2932,,,,,,
B52C2089,001,15-02-2010,116,99,2934,,,,,,
B52C2089,001,01-03-2010,110,93,2940,,,,,,
B52C2089,001,15-03-2010,115,98,2935,,,,,,
B52C2089,001,30-03-2010,109,92,2941,,,,,,
B52C2089,001,14-04-2010,113,96,2937,,,,,,
B52C2089,001,27-04-2010,121,104,2929,,,,,,
B52C2089,001,12-05-2010,119,102,2931,,,,,,
B52C2089,001,28-05-2010,121,104,2929,,,,,,
B52C2089,001,15-06-2010,127,110,2923,,,,,,
B52C2089,001,29-06-2010,143,126,2907,,,,,,
B52C2089,001,15-07-2010,152,135,2898,,,,,,
B52C2089,001,27-07-2010,155,138,2895,,,,,,
B52C2089,001,12-08-2010,151,134,2899,,,,,,
B52C2089,001,27-08-2010,129,112,2921,,,,,,
B52C2089,001,13-09-2010,128,111,2922,,,,,,
B52C2089,001,27-09-2010,124,107,2926,,,,,,
B52C2089,001,14-10-2010,123,106,2927,,,,,,
B52C2089,001,28-10-2010,121,104,2929,,,,,,
B52C2089,001,15-11-2010,108,91,2942,,,,,,
B52C2089,001,29-11-2010,110,93,2940,,,,,,
B52C2089,001,13-12-2010,112,95,2938,,,,,,
B52C2089,001,27-12-2010,113,96,2937,,,,,,
B52C2089,001,13-01-2011,108,91,2942,,,,,,
B52C2089,001,27-01-2011,104,87,2946,,,,,,
B52C2089,001,14-02-2011,109,92,2941,,,,,,
B52C2089,001,28-02-2011,108,91,2942,,,,,,
B52C2089,001,14-03-2011,112,95,2938,,,,,,
B52C2089,001,28-03-2011,114,97,2936,,,,,,
B52C2089,001,14-04-2011,103,86,2947,,,,,,
B52C2089,001,28-04-2011,129,112,2921,,,,,,
B52C2089,001,13-05-2011,140,123,2910,,,,,,
B52C2089,001,27-05-2011,147,130,2903,,,,,,
B52C2089,001,14-06-2011,154,137,2896,,,,,,
B52C2089,001,27-06-2011,151,134,2899,,,,,,
B52C2089,001,14-07-2011,151,134,2899,,,,,,
B52C2089,001,27-07-2011,144,127,2906,,,,,,
B52C2089,001,15-08-2011,128,111,2922,,,,,,
B52C2089,001,29-08-2011,112,95,2938,,,,,,
B52C2089,001,13-09-2011,116,99,2934,,,,,,
B52C2089,001,26-09-2011,122,105,2928,,,,,,
B52C2089,001,13-10-2011,121,104,2929,,,,,,
B52C2089,001,27-10-2011,120,103,2930,,,,,,
B52C2089,001,14-11-2011,124,107,2926,,,,,,
B52C2089,001,28-11-2011,124,107,2926,,,,,,
B52C2089,001,14-12-2011,123,106,2927,,,,,,
B52C2089,001,27-12-2011,110,93,2940,,,,,,
B52C2089,001,13-01-2012,101,84,2949,,,,,,
B52C2089,001,26-01-2012,101,84,2949,,,,,,
B52C2089,001,13-02-2012,116,99,2934,,,,,,
B52C2089,001,27-02-2012,117,100,2933,,,,,,
B52C2089,001,15-03-2012,118,101,2932,,,,,,
B52C2089,001,28-03-2012,125,108,2925,,,,,,
B52C2089,001,12-04-2012,123,106,2927,,,,,,
B52C2089,001,26-04-2012,124,107,2926,,,,,,
B52C2089,001,14-05-2012,124,107,2926,,,,,,
B52C2089,001,29-05-2012,129,112,2921,,,,,,
B52C2089,001,14-06-2012,125,108,2925,,,,,,
B52C2089,001,29-06-2012,123,106,2927,,,,,,
B52C2089,001,24-09-2012,113,96,2937,,,,,,
B52C2089,001,25-09-2012,113,96,2937,,,,,,
B52C2089,001,26-09-2012,114,97,2936,,,,,,
B52C2089,001,27-09-2012,113,96,2937,,,,,,
B52C2089,001,28-09-2012,114,97,2936,,,,,,
B52C2089,001,29-09-2012,114,97,2936,,,,,,
B52C2089,001,30-09-2012,114,97,2936,,,,,,
B52C2089,001,01-10-2012,113,96,2937,,,,,,
B52C2089,001,02-10-2012,113,96,2937,,,,,,
B52C2089,001,03-10-2012,112,95,2938,,,,,,
B52C2089,001,04-10-2012,108,91,2942,,,,,,
B52C2089,001,05-10-2012,104,87,2946,,,,,,
B52C2089,001,06-10-2012,105,88,2945,,,,,,
B52C2089,001,07-10-2012,104,87,2946,,,,,,
B52C2089,001,08-10-2012,103,86,2947,,,,,,
B52C2089,001,09-10-2012,104,87,2946,,,,,,
B52C2089,001,10-10-2012,104,87,2946,,,,,,
B52C2089,001,11-10-2012,103,86,2947,,,,,,
B52C2089,001,12-10-2012,103,86,2947,,,,,,
B52C2089,001,13-10-2012,101,84,2949,,,,,,
B52C2089,001,14-10-2012,97,80,2953,,,,,,
B52C2089,001,15-10-2012,98,81,2952,,,,,,
B52C2089,001,16-10-2012,98,81,2952,,,,,,
B52C2089,001,17-10-2012,97,80,2953,,,,,,
B52C2089,001,18-10-2012,96,79,2954,,,,,,
B52C2089,001,19-10-2012,98,81,2952,,,,,,
B52C2089,001,20-10-2012,100,83,2950,,,,,,
B52C2089,001,21-10-2012,100,83,2950,,,,,,
B52C2089,001,22-10-2012,100,83,2950,,,,,,
B52C2089,001,23-10-2012,101,84,2949,,,,,,
B52C2089,001,24-10-2012,101,84,2949,,,,,,
B52C2089,001,25-10-2012,100,83,2950,,,,,,
B52C2089,001,26-10-2012,100,83,2950,,,,,,
B52C2089,001,27-10-2012,102,85,2948,,,,,,
B52C2089,001,28-10-2012,103,86,2947,,,,,,
B52C2089,001,29-10-2012,102,85,2948,,,,,,
B52C2089,001,30-10-2012,102,85,2948,,,,,,
B52C2089,001,31-10-2012,101,84,2949,,,,,,
B52C2089,001,01-11-2012,98,81,2952,,,,,,
B52C2089,001,02-11-2012,101,84,2949,,,,,,
B52C2089,001,03-11-2012,100,83,2950,,,,,,
B52C2089,001,04-11-2012,97,80,2953,,,,,,
B52C2089,001,05-11-2012,98,81,2952,,,,,,
B52C2089,001,06-11-2012,99,82,2951,,,,,,
B52C2089,001,07-11-2012,98,81,2952,,,,,,
B52C2089,001,08-11-2012,96,79,2954,,,,,,
B52C2089,001,09-11-2012,95,78,2955,,,,,,
B52C2089,001,10-11-2012,93,76,2957,,,,,,
B52C2089,001,11-11-2012,97,80,2953,,,,,,
B52C2089,001,12-11-2012,99,82,2951,,,,,,
B52C2089,001,13-11-2012,100,83,2950,,,,,,
B52C2089,001,14-11-2012,100,83,2950,,,,,,
B52C2089,001,15-11-2012,99,82,2951,,,,,,
B52C2089,001,16-11-2012,99,82,2951,,,,,,
B52C2089,001,17-11-2012,98,81,2952,,,,,,
B52C2089,001,18-11-2012,100,83,2950,,,,,,
B52C2089,001,19-11-2012,98,81,2952,,,,,,
B52C2089,001,20-11-2012,98,81,2952,,,,,,
B52C2089,001,21-11-2012,98,81,2952,,,,,,
B52C2089,001,22-11-2012,99,82,2951,,,,,,
B52C2089,001,23-11-2012,99,82,2951,,,,,,
B52C2089,001,24-11-2012,99,82,2951,,,,,,
B52C2089,001,25-11-2012,95,78,2955,,,,,,
B52C2089,001,26-11-2012,96,79,2954,,,,,,
B52C2089,001,27-11-2012,95,78,2955,,,,,,
B52C2089,001,28-11-2012,96,79,2954,,,,,,
B52C2089,001,29-11-2012,97,80,2953,,,,,,
B52C2089,001,30-11-2012,98,81,2952,,,,,,
B52C2089,001,01-12-2012,98,81,2952,,,,,,
B52C2089,001,02-12-2012,98,81,2952,,,,,,
B52C2089,001,03-12-2012,94,77,2956,,,,,,
B52C2089,001,04-12-2012,91,74,2959,,,,,,
B52C2089,001,05-12-2012,92,75,2958,,,,,,
B52C2089,001,06-12-2012,93,76,2957,,,,,,
B52C2089,001,07-12-2012,90,73,2960,,,,,,
B52C2089,001,08-12-2012,95,78,2955,,,,,,
B52C2089,001,09-12-2012,91,74,2959,,,,,,
B52C2089,001,10-12-2012,89,72,2961,,,,,,
B52C2089,001,11-12-2012,90,73,2960,,,,,,
B52C2089,001,12-12-2012,88,71,2962,,,,,,
B52C2089,001,13-12-2012,88,71,2962,,,,,,
B52C2089,001,14-12-2012,86,69,2964,,,,,,
B52C2089,001,15-12-2012,85,68,2965,,,,,,
B52C2089,001,16-12-2012,85,68,2965,,,,,,
B52C2089,001,17-12-2012,83,66,2967,,,,,,
B52C2089,001,18-12-2012,85,68,2965,,,,,,
B52C2089,001,19-12-2012,86,69,2964,,,,,,
B52C2089,001,20-12-2012,83,66,2967,,,,,,
