,user,message
2018-07-01 19:53:33,user2,1
2018-07-01 19:57:59,user2,1
2018-07-01 19:58:08,user2,1
2018-07-01 19:58:49,user2,1
2018-07-01 20:03:56,user1,1
2018-07-01 20:03:58,user1,1
2018-07-01 21:10:54,user1,1
2018-07-02 13:54:13,user1,1
2018-07-02 13:54:34,user2,1
2018-07-03 15:05:39,user1,1
2018-07-03 15:40:53,user2,1
2018-07-03 15:42:22,user1,1
2018-07-03 15:42:24,user2,1
2018-07-03 15:42:27,user1,1
2018-07-03 15:42:39,user2,1
2018-07-03 15:42:54,user2,1
2018-07-03 15:42:57,user2,1
2018-07-03 15:46:11,user1,1
2018-07-04 14:56:39,user2,1
2018-07-04 15:51:02,user1,1
2018-07-04 15:51:06,user1,1
2018-07-04 15:51:18,user2,1
2018-07-04 17:18:24,user2,1
2018-07-04 17:20:25,user1,1
2018-07-05 16:27:12,user2,1
2018-07-05 16:27:33,user2,1
2018-07-05 16:28:08,user2,1
2018-07-05 16:31:34,user1,1
2018-07-06 00:02:07,user1,1
2018-07-06 11:41:37,user2,1
2018-07-06 11:41:41,user2,1
2018-07-06 11:42:06,user1,1
2018-07-06 11:42:21,user2,1
2018-07-06 11:50:13,user1,1
2018-07-06 11:50:20,user1,1
2018-07-06 11:50:30,user1,1
2018-07-06 12:09:06,user2,1
2018-07-06 12:09:15,user2,1
2018-07-06 12:09:20,user2,1
2018-07-06 12:09:48,user1,1
2018-07-06 12:12:40,user2,1
2018-07-06 12:12:56,user2,1
2018-07-06 12:13:02,user1,1
2018-07-06 12:13:42,user2,1
2018-07-06 12:13:47,user2,1
2018-07-06 12:13:55,user1,1
2018-07-06 12:15:17,user2,1
2018-07-06 12:15:28,user2,1
2018-07-06 12:15:56,user2,1
2018-07-06 12:16:13,user2,1
2018-07-06 12:16:20,user2,1
2018-07-06 12:24:56,user1,1
2018-07-06 13:37:43,user2,1
2018-07-06 14:01:30,user1,1
2018-07-06 14:01:34,user1,1
2018-07-06 14:50:19,user2,1
2018-07-06 15:07:47,user1,1
2018-07-06 17:55:48,user2,1
2018-07-06 17:57:26,user1,1
2018-07-06 17:57:32,user1,1
2018-07-06 17:58:02,user2,1
2018-07-06 18:13:41,user1,1
2018-07-06 20:20:44,user1,1
2018-07-06 21:09:37,user1,1
2018-07-06 21:10:00,user1,1
2018-07-06 21:10:05,user2,1
2018-07-06 21:10:17,user2,1
2018-07-06 21:10:17,user1,1
2018-07-06 21:10:31,user1,1
2018-07-06 21:10:42,user1,1
2018-07-06 21:11:02,user2,1
2018-07-06 21:11:14,user2,1
2018-07-06 21:11:29,user2,1
2018-07-06 21:11:33,user2,1
2018-07-06 21:11:37,user2,1
2018-07-06 21:11:41,user1,1
2018-07-07 13:03:49,user1,1
2018-07-07 13:07:25,user2,1
2018-07-07 13:07:38,user2,1
2018-07-07 13:08:03,user2,1
2018-07-07 13:30:18,user1,1
2018-07-07 17:18:52,user2,1
2018-07-07 18:10:50,user2,1
2018-07-07 18:11:05,user2,1
2018-07-07 18:11:27,user1,1
2018-07-07 18:11:31,user1,1
2018-07-07 18:11:37,user2,1
2018-07-07 18:11:39,user2,1
2018-07-07 18:26:03,user1,1
2018-07-09 10:23:05,user2,1
2018-07-09 10:23:12,user2,1
2018-07-09 10:23:24,user2,1
2018-07-09 10:27:20,user1,1
2018-07-09 10:27:36,user2,1
2018-07-09 10:27:47,user1,1
2018-07-09 10:27:47,user2,1
2018-07-10 14:12:54,user1,1
2018-07-10 14:20:35,user1,1
2018-07-10 15:06:01,user2,1
2018-07-10 15:06:06,user2,1
2018-07-10 15:06:09,user2,1
2018-07-10 15:06:33,user2,1
2018-07-10 15:18:58,user1,1
2018-07-10 15:19:20,user1,1
2018-07-10 16:53:56,user2,1
2018-07-10 16:54:00,user2,1
2018-07-10 17:59:59,user1,1
2018-07-10 18:22:07,user1,1
2018-07-10 18:23:35,user2,1
2018-07-10 18:23:44,user2,1
2018-07-10 18:23:58,user2,1
2018-07-10 18:48:27,user1,1
2018-07-10 19:03:36,user2,1
2018-07-10 19:37:30,user2,1
2018-07-10 20:06:42,user1,1
2018-07-10 20:47:53,user1,1
2018-07-10 22:17:05,user2,1
2018-07-10 22:24:10,user1,1
2018-07-10 22:57:01,user2,1
2018-07-10 22:57:43,user2,1
2018-07-10 23:06:57,user1,1
2018-07-10 23:07:57,user1,1
2018-07-10 23:19:05,user2,1
2018-07-11 00:12:38,user2,1
2018-07-11 00:19:31,user1,1
2018-07-11 00:19:34,user1,1
2018-07-11 09:59:11,user2,1
2018-07-11 10:14:28,user1,1
2018-07-11 10:14:28,user1,1
2018-07-11 10:14:48,user1,1
2018-07-11 10:48:45,user2,1
2018-07-11 10:50:08,user2,1
2018-07-11 11:11:16,user1,1
2018-07-11 11:11:27,user1,1
2018-07-11 11:11:30,user1,1
2018-07-11 11:11:39,user1,1
2018-07-11 11:11:56,user1,1
2018-07-11 12:54:09,user2,1
2018-07-11 13:28:05,user2,1
2018-07-11 13:30:36,user1,1
2018-07-11 15:11:12,user2,1
2018-07-11 15:53:52,user1,1
2018-07-11 16:00:14,user2,1
2018-07-11 16:16:12,user1,1
2018-07-11 16:16:26,user1,1
2018-07-11 17:08:57,user2,1
2018-07-11 17:09:05,user2,1
2018-07-11 17:36:22,user1,1
2018-07-11 17:42:20,user2,1
2018-07-11 17:45:28,user2,1
2018-07-12 10:12:53,user2,1
2018-07-12 13:15:22,user1,1
2018-07-12 13:15:37,user1,1
2018-07-12 13:16:36,user1,1
2018-07-12 13:26:41,user2,1
