Datum,Neerslag [mm]
22 jan. 2021,0.3
23 jan. 2021,0
24 jan. 2021,0.6
25 jan. 2021,2.5
26 jan. 2021,1.6
27 jan. 2021,1.1
28 jan. 2021,9.8
29 jan. 2021,7.9
30 jan. 2021,0
31 jan. 2021,0.2
1 feb. 2021,0.9
2 feb. 2021,6
3 feb. 2021,11.5
4 feb. 2021,0.6
5 feb. 2021,1
6 feb. 2021,3.3
7 feb. 2021,4.6
8 feb. 2021,0.2
9 feb. 2021,0
10 feb. 2021,0
11 feb. 2021,0
12 feb. 2021,0
13 feb. 2021,0
14 feb. 2021,0
15 feb. 2021,3.5
